iter	Logloss
0	0.6516956039
1	0.6134975778
2	0.5859764327
3	0.5483319421
4	0.5204556929
5	0.4929513977
6	0.4654172227
7	0.4481825325
8	0.4278974319
9	0.4171520001
10	0.4016630553
11	0.3905828229
12	0.381497788
13	0.3711383604
14	0.3617837268
15	0.3571172945
16	0.3474952862
17	0.3412791849
18	0.3363906685
19	0.3320158653
20	0.3266852218
21	0.3222016267
22	0.3196342909
23	0.3169911828
24	0.312884356
25	0.3095741848
26	0.3073917283
27	0.3047569928
28	0.3021159779
29	0.2996055498
30	0.2978024518
31	0.2957191586
32	0.2936212133
33	0.2911641607
34	0.2892889273
35	0.2875280588
36	0.2856828099
37	0.2843546754
38	0.282651892
39	0.2813185509
40	0.2802959651
41	0.2791241372
42	0.2781568108
43	0.2768558874
44	0.2759872795
45	0.2754447854
46	0.274174867
47	0.2728328392
48	0.2725498967
49	0.2721272359
50	0.2717437172
51	0.2710500449
52	0.2704799212
53	0.2697982845
54	0.2689008172
55	0.2675662987
56	0.2669895815
57	0.26589227
58	0.2649707314
59	0.2647279251
60	0.2645742874
61	0.2643323708
62	0.2640551583
63	0.2638647594
64	0.2637728175
65	0.2634075354
66	0.262945314
67	0.2627691486
68	0.2622340068
69	0.2614778799
70	0.2609681962
71	0.2603942001
72	0.2598704398
73	0.2592063857
74	0.2591023558
75	0.2589786502
76	0.2584460464
77	0.2583356323
78	0.2581689123
79	0.2580793252
80	0.2579946047
81	0.2578735417
82	0.257656429
83	0.2575760256
84	0.2575102481
85	0.2573972438
86	0.2573168142
87	0.25709978
88	0.2570274352
89	0.2566854918
90	0.2565904625
91	0.2564919794
92	0.2564015812
93	0.2563213348
94	0.2561350438
95	0.2559415314
96	0.2558437548
97	0.2555780808
98	0.2554852755
99	0.2553078542
100	0.2551494284
101	0.2550390144
102	0.2549626141
103	0.2547018591
104	0.2545222662
105	0.2544076658
106	0.2543211661
107	0.2540995531
108	0.2540088932
109	0.2539205358
110	0.2538389027
111	0.2537558043
112	0.2533665294
113	0.2533137818
114	0.2532341895
115	0.2531619495
116	0.2530842672
117	0.2529898396
118	0.2529036277
119	0.252816814
120	0.2526636995
121	0.2526080216
122	0.2525339761
123	0.2524579422
124	0.2523823269
125	0.2523291084
126	0.2522665491
127	0.2521399131
128	0.2520811477
129	0.2517063679
130	0.2514879731
131	0.2514379728
132	0.2513719599
133	0.2513123311
134	0.2512581183
135	0.2511779242
136	0.2511116235
137	0.2510252807
138	0.2509410573
139	0.2508763264
140	0.2508173256
141	0.250717639
142	0.2506424946
143	0.2505553146
144	0.2504879673
145	0.2503929379
146	0.2503303002
147	0.2502859776
148	0.2501958672
149	0.2501076929
150	0.2500217688
151	0.2499420719
152	0.2498719511
153	0.2498214275
154	0.2497807941
155	0.2497244097
156	0.249667188
157	0.2495958113
158	0.2495347958
159	0.2494405776
160	0.2493866264
161	0.2491806336
162	0.2491233334
163	0.24900316
164	0.2489328561
165	0.248843583
166	0.2487286948
167	0.248642823
168	0.2485373279
169	0.2484629162
170	0.2483657675
171	0.2482457511
172	0.2481715748
173	0.2480653994
174	0.2479745564
175	0.247920239
176	0.2476600334
177	0.2476005877
178	0.2475349672
179	0.2474642709
180	0.24738078
181	0.24731427
182	0.2469746552
183	0.2468959263
184	0.2468023884
185	0.2467054752
186	0.2466323717
187	0.2465487762
188	0.2464662797
189	0.2463449289
190	0.2462938297
191	0.246223081
192	0.2461460266
193	0.2460748854
194	0.2459896416
195	0.2459478046
196	0.2458821318
197	0.245818369
198	0.245600733
199	0.2455231815
200	0.2454310564
201	0.2453630027
202	0.2452543678
203	0.2451633939
204	0.2450557272
205	0.2450003893
206	0.2448454695
207	0.2447892944
208	0.2446876716
209	0.2446103295
210	0.2445318622
211	0.2444362835
212	0.2443642788
213	0.244287146
214	0.2440235652
215	0.2439510111
216	0.2438402308
217	0.2435938923
218	0.2435095381
219	0.2434376905
220	0.2433582028
221	0.2432577574
222	0.2431789501
223	0.243089049
224	0.2429580173
225	0.2428902252
226	0.2427726159
227	0.242682898
228	0.2426149227
229	0.2423775848
230	0.2422905357
231	0.2421981228
232	0.2421038784
233	0.2420190532
234	0.2418986443
235	0.2417289416
236	0.2416645247
237	0.241593462
238	0.241519809
