iter	Passed	Remaining
0	125	34895
1	272	37945
2	422	39045
3	572	39531
4	732	40262
5	853	38994
6	1009	39352
7	1163	39550
8	1302	39233
9	1448	39121
10	1608	39333
11	1740	38871
12	1890	38828
13	2032	38623
14	2183	38566
15	2308	38086
16	2455	37985
17	2603	37893
18	2721	37378
19	2859	37179
20	2976	36711
21	3114	36528
22	3243	36241
23	3370	35953
24	3454	35240
25	3594	35115
26	3718	34843
27	3830	34470
28	3930	34016
29	4042	33684
30	4157	33390
31	4229	32776
32	4360	32636
33	4488	32472
34	4625	32375
35	4753	32219
36	4853	31874
37	4978	31703
38	5088	31447
39	5217	31307
40	5360	31247
41	5494	31137
42	5608	30909
43	5727	30718
44	5849	30549
45	5971	30375
46	6087	30177
47	6186	29901
48	6311	29755
49	6439	29623
50	6518	29270
51	6616	29009
52	6744	28885
53	6863	28725
54	6981	28560
55	7100	28401
56	7239	28321
57	7352	28141
58	7438	27864
59	7558	27714
60	7698	27640
61	7838	27561
62	7958	27411
63	8076	27259
64	8207	27146
65	8319	26975
66	8433	26812
67	8563	26697
68	8666	26501
69	8783	26351
70	8894	26182
71	9019	26054
72	9140	25919
73	9239	25720
74	9354	25569
75	9460	25393
76	9548	25172
77	9660	25019
78	9752	24813
79	9875	24687
80	9982	24524
81	10096	24380
82	10207	24227
83	10322	24086
84	10421	23907
85	10561	23823
86	10674	23679
87	10795	23554
88	10903	23399
89	10975	23171
90	11089	23032
91	11193	22874
92	11312	22745
93	11409	22576
94	11537	22468
95	11629	22289
96	11744	22157
97	11816	21944
98	11936	21822
99	12066	21720
100	12174	21576
101	12280	21431
102	12359	21239
103	12440	21053
104	12587	20979
105	12686	20824
106	12805	20704
107	12895	20536
108	13055	20482
109	13174	20361
110	13276	20213
111	13389	20084
112	13501	19953
113	13611	19820
114	13709	19670
115	13823	19543
116	13927	19403
117	14019	19247
118	14078	19047
119	14203	18938
120	14307	18801
121	14433	18692
122	14549	18571
123	14671	18457
124	14777	18323
125	14917	18232
126	15035	18114
127	15131	17968
128	15239	17838
129	15366	17730
130	15488	17616
131	15598	17489
132	15714	17368
133	15828	17246
134	15944	17125
135	16057	17001
136	16165	16873
137	16272	16744
138	16357	16592
139	16438	16438
140	16583	16348
141	16705	16234
142	16774	16070
143	16859	15922
144	16949	15780
145	17055	15653
146	17173	15537
147	17273	15406
148	17413	15310
149	17524	15188
150	17637	15068
151	17760	14956
152	17859	14824
153	17982	14712
154	18095	14593
155	18194	14461
156	18284	14324
157	18389	14199
158	18517	14092
159	18649	13987
160	18763	13868
161	18891	13760
162	18983	13626
163	19104	13513
164	19234	13405
165	19302	13256
166	19422	13141
167	19522	13015
168	19645	12902
169	19782	12800
170	19878	12671
171	20000	12558
172	20125	12447
173	20250	12336
174	20344	12206
175	20458	12089
176	20585	11979
177	20706	11865
178	20806	11739
179	20891	11606
180	21011	11492
181	21130	11377
182	21229	11252
183	21334	11131
184	21451	11015
185	21594	10913
186	21691	10787
187	21804	10670
188	21909	10549
189	22026	10433
190	22108	10302
191	22205	10177
192	22310	10057
193	22419	9938
194	22512	9813
195	22643	9704
196	22771	9594
197	22853	9464
198	22986	9356
199	23123	9249
200	23234	9132
201	23332	9009
202	23424	8885
203	23554	8775
204	23663	8657
205	23756	8533
206	23875	8419
207	24013	8312
208	24129	8197
209	24236	8078
210	24339	7959
211	24436	7838
212	24552	7723
213	24663	7606
214	24791	7495
215	24905	7379
216	25012	7261
217	25108	7140
218	25220	7024
219	25310	6902
220	25432	6789
221	25543	6673
222	25640	6553
223	25765	6441
224	25878	6325
225	25988	6209
226	26091	6091
227	26230	5982
228	26331	5864
229	26432	5746
230	26498	5620
231	26595	5502
232	26713	5388
233	26822	5272
234	26945	5159
235	27061	5045
236	27187	4932
237	27286	4815
238	27400	4700
239	27516	4586
240	27597	4466
241	27722	4353
242	27836	4238
243	27940	4122
244	28032	4004
245	28104	3884
246	28214	3769
247	28326	3655
248	28425	3538
249	28531	3423
250	28615	3306
251	28671	3185
252	28774	3070
253	28845	2952
254	28952	2838
255	29025	2721
256	29109	2605
257	29221	2491
258	29368	2381
259	29471	2267
260	29563	2152
261	29670	2038
262	29790	1925
263	29908	1812
264	30030	1699
265	30138	1586
266	30237	1472
267	30343	1358
268	30436	1244
269	30536	1130
270	30640	1017
271	30740	904
272	30845	790
273	30973	678
274	31083	565
275	31193	452
276	31286	338
277	31375	225
278	31505	112
279	31649	0
