iter	Logloss
0	0.6320974007
1	0.5895096193
2	0.546578936
3	0.512534681
4	0.4813283389
5	0.4568248279
6	0.4300767672
7	0.4168243437
8	0.4017169251
9	0.3889565191
10	0.3775051372
11	0.3696719006
12	0.3564158041
13	0.3469231122
14	0.3378225861
15	0.3312383595
16	0.3226893676
17	0.3179915186
18	0.3123454603
19	0.3065718563
20	0.3021060985
21	0.2985311372
22	0.2962621163
23	0.2927940031
24	0.2903258353
25	0.2881600714
26	0.2861213204
27	0.2834707188
28	0.2805981483
29	0.2789674867
30	0.2764857212
31	0.2741987267
32	0.2734038806
33	0.2729628312
34	0.2707121846
35	0.2698210728
36	0.2687383401
37	0.2679210759
38	0.2660860959
39	0.2648132474
40	0.2643637098
41	0.2633386194
42	0.2621909689
43	0.2612298937
44	0.2611000876
45	0.2601242454
46	0.2594738167
47	0.2593619175
48	0.2589866929
49	0.2586879243
50	0.2585298749
51	0.2576206964
52	0.2571026492
53	0.256662982
54	0.2562263169
55	0.2561351261
56	0.2553915133
57	0.2552756804
58	0.2551725443
59	0.2550372419
60	0.2549589594
61	0.2548857673
62	0.2547477892
63	0.254403409
64	0.2537341491
65	0.2533856729
66	0.2533083537
67	0.2532419354
68	0.2531550693
69	0.2530640252
70	0.2529692769
71	0.2528249025
72	0.2527758801
73	0.2525623457
74	0.2523811066
75	0.2522809407
76	0.2521518736
77	0.2520876255
78	0.2519255775
79	0.2517771724
80	0.2516688141
81	0.2515484613
82	0.2514908061
83	0.2513569576
84	0.2510878243
85	0.2510018885
86	0.2508033916
87	0.2505971349
88	0.2504960547
89	0.2504287225
90	0.2503673631
91	0.2503045999
92	0.2502357826
93	0.2501787642
94	0.2500973323
95	0.2497246975
96	0.2496504786
97	0.2495638408
98	0.2495078013
99	0.2494159579
100	0.249349262
101	0.2492594096
102	0.2491911145
103	0.249116912
104	0.2490672206
105	0.2489518124
106	0.2488882823
107	0.2488189754
108	0.2487044482
109	0.2486462221
110	0.2484834564
111	0.2483945503
112	0.2483006016
113	0.2482568992
114	0.2481832187
115	0.2481132428
116	0.2480524381
117	0.2480117221
118	0.2479362794
119	0.2478792117
120	0.2475255254
121	0.2474669565
122	0.2472794019
123	0.2472014786
124	0.2471056043
125	0.2470286111
126	0.246955094
127	0.2469088622
128	0.2468131348
129	0.2467320945
130	0.2466390597
131	0.2465495124
132	0.2464803524
133	0.2464208859
134	0.2463156609
135	0.2462420947
136	0.2462045283
137	0.2461367391
138	0.2460877494
139	0.2460429702
140	0.2459605264
141	0.2458827009
142	0.2457477264
143	0.2456954403
144	0.2456336238
145	0.2455871145
146	0.2455058622
147	0.2454297832
148	0.2453701369
149	0.245316627
150	0.2452222214
151	0.2450630292
152	0.2449746617
153	0.2449412404
154	0.2448729779
155	0.2448034099
156	0.2447554646
157	0.2446942195
158	0.2446194784
159	0.2445381933
160	0.2444760994
161	0.2443950916
162	0.2443475706
163	0.2440816286
164	0.2440376325
165	0.2439700555
166	0.2438952164
167	0.2438582049
168	0.2438093947
169	0.2437243399
170	0.2436444584
171	0.2435757553
172	0.2433574819
173	0.2433033843
174	0.2432259179
175	0.2431764713
176	0.2431289176
177	0.2428845077
178	0.2428050994
179	0.2427399213
180	0.2426790187
181	0.2426127635
182	0.2424691216
183	0.2423866778
184	0.2422876213
185	0.2422182328
186	0.2421425779
187	0.2420695339
188	0.2419671158
189	0.2419128061
190	0.2417503623
191	0.2416680818
192	0.2416018429
193	0.2414937947
194	0.2414239819
195	0.2413655925
196	0.2412849276
197	0.2412118348
198	0.2410169531
199	0.2409480705
200	0.24085781
201	0.2407965485
202	0.2407302932
203	0.2405868165
204	0.2405343344
205	0.2404785234
206	0.2402111188
207	0.2401393804
208	0.2400921205
209	0.2399041411
210	0.2398383265
211	0.2397590813
212	0.2396946049
213	0.2396165347
214	0.239574807
215	0.239460019
216	0.2393732998
217	0.2392854219
218	0.2392259391
219	0.2391419615
220	0.2390684443
221	0.2389778738
222	0.2389216547
223	0.2388792252
224	0.2388117461
225	0.2387189073
226	0.238638634
227	0.2385371949
228	0.2384436707
229	0.2383608027
230	0.238278359
231	0.2381999135
232	0.2381461913
233	0.23806489
234	0.2379646259
235	0.237867283
236	0.237789376
237	0.2377406475
238	0.2376909724
239	0.2375963221
240	0.2375116427
241	0.237432936
242	0.2373534298
243	0.2372929515
244	0.237169286
245	0.2370688261
246	0.2369960107
247	0.2369145135
248	0.2368507062
249	0.2367765852
250	0.2366953328
251	0.2366129381
252	0.2365385723
253	0.2364677478
254	0.2364083955
255	0.2363214152
256	0.2362639559
257	0.2361758985
258	0.2361124012
259	0.2360592665
260	0.235979956
261	0.2358862033
262	0.2358146117
263	0.2355727959
264	0.2355213257
265	0.2354384577
266	0.23535683
267	0.2351817576
268	0.2351034753
269	0.2350668065
270	0.2349870881
271	0.2349160841
272	0.234829887
273	0.2347503155
274	0.2347102686
275	0.2346086011
276	0.2345357857
277	0.2344355869
278	0.234171773
279	0.2340921526
280	0.2340358357
281	0.2339581572
282	0.2338895194
283	0.2337939226
284	0.233725448
285	0.233665443
286	0.233592497
287	0.2335001967
288	0.2334082064
289	0.2333359295
290	0.2332605846
291	0.2331680721
292	0.2331039384
293	0.2330231103
294	0.2329436856
295	0.2329091709
296	0.2328353437
297	0.2327868436
298	0.2327395184
299	0.2326978723
300	0.2326321556
301	0.2325678261
302	0.2324649347
303	0.2324230927
304	0.232338397
305	0.2322573731
306	0.2321967643
307	0.2321320757
308	0.2320636827
309	0.2319980476
310	0.2319180192
311	0.2318330624
312	0.2317511736
313	0.2316838739
314	0.2315910514
315	0.2315205532
316	0.2314784991
317	0.2314052594
318	0.2313544909
319	0.2312946491
320	0.2312239388
321	0.2311638848
322	0.2310990983
323	0.231027719
324	0.2309628998
325	0.23089467
326	0.2307572459
327	0.2306733335
328	0.230595655
329	0.2305235087
330	0.2304578573
331	0.2303730147
332	0.2303037242
333	0.2302209052
334	0.2301636581
335	0.2300713251
336	0.2300075993
337	0.2299408709
338	0.2298848151
339	0.2297872274
340	0.2297212496
341	0.2296285739
342	0.229402017
343	0.2293278308
344	0.229266814
345	0.2291958426
346	0.2291120445
347	0.2290598236
348	0.2289760581
349	0.2288919499
350	0.2288381951
351	0.2287434469
352	0.2286733404
353	0.2285809421
354	0.2285049445
355	0.2284338915
356	0.2283507787
357	0.2282919161
358	0.2282311767
359	0.2281652642
360	0.2281005756
361	0.2280259814
362	0.2279660253
363	0.2279067546
364	0.2278464395
365	0.2277872504
366	0.2277084296
367	0.2276453076
368	0.2275789383
369	0.227501782
370	0.2274376646
371	0.227359317
372	0.2272857672
373	0.2272522153
374	0.2271951967
375	0.2271436448
376	0.2270883397
377	0.2270430871
378	0.2269771093
379	0.226888138
380	0.2268086808
381	0.2267635587
382	0.2266835466
383	0.2264940992
384	0.2264206962
385	0.2263560403
386	0.22630395
387	0.2262326196
388	0.2261597552
389	0.2261055107
390	0.2260461422
391	0.2260005632
392	0.225949501
393	0.2258634345
394	0.2257906843
395	0.2257038998
396	0.2256489537
397	0.2256036194
398	0.2255273117
399	0.2254694935
400	0.2254059146
401	0.2253362976
402	0.2252897558
403	0.2252148026
404	0.2251495428
405	0.2250803175
406	0.2250215527
407	0.2249741623
408	0.2249057856
409	0.2248155089
410	0.2247475891
411	0.2246784128
412	0.22463755
413	0.2245539314
414	0.2244956398
415	0.2244355206
416	0.2243786651
417	0.224326787
418	0.2242497122
419	0.2241670727
420	0.2240836173
421	0.2240137393
422	0.2239509763
423	0.2238911671
424	0.2238284858
425	0.2237498281
426	0.2236941966
427	0.2236157837
428	0.2235565783
429	0.2234826532
430	0.2234010907
431	0.2233338564
432	0.2232721705
433	0.2232321237
434	0.2232027168
435	0.2231506591
436	0.2230666325
437	0.2230251659
438	0.2229645897
439	0.2228933083
440	0.2228286197
441	0.2227607162
442	0.2227075652
443	0.2226449981
444	0.2225928589
445	0.2225446688
446	0.2224726204
447	0.2224189471
448	0.2223570001
449	0.2222874811
450	0.2222174399
451	0.2221290725
452	0.2220425654
453	0.2220007887
454	0.2219416649
455	0.2218916144
456	0.2218433102
457	0.2217867811
458	0.2217478602
459	0.2217107344
460	0.2216720747
461	0.2215873301
462	0.2215261664
463	0.2214818276
464	0.221431614
465	0.2213822
466	0.2213186211
467	0.2212563804
468	0.2211775596
469	0.2211284556
470	0.2210693971
471	0.2210048391
472	0.2209447361
473	0.2208461203
474	0.220747684
475	0.2206858676
476	0.2206319006
477	0.2205538957
478	0.2204903658
479	0.2204312909
480	0.2203847491
481	0.2203271919
482	0.2202670401
483	0.2202171855
484	0.2201579148
485	0.2200821782
486	0.2199898942
487	0.219930493
488	0.2198555234
489	0.2198050161
490	0.2197347627
491	0.2196730442
492	0.2196199095
493	0.2195845298
494	0.2195482527
495	0.2194982349
496	0.2194322082
497	0.2193729865
498	0.2193162452
499	0.2192288406
500	0.2191422845
501	0.219101128
502	0.2190256852
503	0.2189642441
504	0.2189135898
505	0.2188731513
506	0.2188142886
507	0.2187356799
508	0.2186581972
509	0.2185806982
510	0.2185477175
511	0.2184772846
512	0.2184132161
513	0.2183469935
514	0.2183049558
515	0.2182532408
516	0.2182168657
517	0.2181367067
518	0.2180651641
519	0.2180182633
520	0.2179558921
521	0.217887548
522	0.2178166582
523	0.2177460621
524	0.2176764126
525	0.217614694
526	0.2175624405
527	0.2175015379
528	0.2174596307
529	0.2173874191
530	0.2173383478
531	0.2172846419
532	0.2172258282
533	0.2171517725
534	0.2170942153
535	0.2170213998
536	0.216970354
537	0.2169173335
538	0.2168420539
539	0.2167679329
540	0.2167079442
541	0.2166531449
542	0.2166017074
543	0.216554627
544	0.2164916846
545	0.2164605152
546	0.2163035586
547	0.2162393922
548	0.216177641
549	0.2161355543
550	0.2160802491
551	0.2160195098
552	0.2159622953
553	0.215893837
554	0.2158254277
555	0.2157837979
556	0.2157308428
557	0.2157061195
558	0.2156385261
559	0.2155848529
560	0.2155230854
561	0.2154526525
562	0.2153944263
563	0.2153479497
564	0.2151983033
565	0.2151396364
566	0.215094596
567	0.2150304459
568	0.2149809014
569	0.214938113
570	0.2148822693
571	0.2148334101
572	0.214766339
573	0.2147178062
574	0.2146638719
575	0.2145890165
576	0.2145284567
577	0.2144700836
578	0.2144249452
579	0.2143723653
580	0.214318023
581	0.2142398875
582	0.214184256
583	0.2141400804
584	0.2140828333
585	0.2140134122
586	0.2139522485
587	0.2139006478
588	0.2138501731
589	0.2137852887
590	0.2137298204
591	0.2136726549
592	0.2136122582
593	0.213542119
594	0.2134919707
595	0.2134143738
596	0.2133706062
597	0.2133096057
598	0.2132744545
599	0.2132271131
600	0.2131628325
601	0.2131227203
602	0.2130755257
603	0.2130067248
604	0.2129539001
605	0.2129134779
606	0.2128524122
607	0.2128361258
608	0.2128098359
609	0.2127461754
610	0.2126987523
611	0.212650089
612	0.2125825283
613	0.2125172522
614	0.2124682952
615	0.2124136101
616	0.2123523323
617	0.2122993118
618	0.2122548914
619	0.2122004185
620	0.2121537298
621	0.2121017538
622	0.2120587532
623	0.2120129294
624	0.2119454339
625	0.2118902756
626	0.2118300911
627	0.2117673934
628	0.2117145688
629	0.2116403826
630	0.2115841309
631	0.2115440351
632	0.2114755442
633	0.2114011295
634	0.2113421852
635	0.2112863741
636	0.2112340554
637	0.2111802026
638	0.21112697
639	0.2110612859
640	0.2110048058
641	0.2109558814
642	0.2108914866
643	0.210852941
644	0.2108165823
645	0.2107497722
646	0.2106783602
647	0.2106271348
648	0.2105665097
649	0.210500483
650	0.2104385359
651	0.2103843732
652	0.2103229647
653	0.2102549959
654	0.2101921677
655	0.2101345453
656	0.2100653527
657	0.2099960622
658	0.2099536001
659	0.2098816985
660	0.2098266708
661	0.2097596486
662	0.2097169417
663	0.2096372396
664	0.2095662519
665	0.2095162504
666	0.2094557069
667	0.2093882278
668	0.2093477566
669	0.2092892529
670	0.2092509685
671	0.2091914204
672	0.2091545232
673	0.20909114
674	0.209036406
675	0.2089926221
676	0.2089341674
677	0.208882583
678	0.2088415244
679	0.2087744858
680	0.2087350101
681	0.208688093
682	0.2086672209
683	0.2086128949
684	0.2085746105
685	0.2085187668
686	0.2084871569
687	0.2084240186
688	0.2083491796
689	0.2082988354
690	0.2082515592
691	0.2082110881
692	0.2081723304
693	0.2081263924
694	0.2080980626
695	0.2080138565
696	0.2079364717
697	0.2079055798
698	0.2078265468
699	0.2077683042
700	0.2077000092
701	0.2076615942
702	0.2075971831
703	0.2075532196
704	0.2075111656
705	0.2074586836
706	0.2074118806
707	0.2073337125
708	0.2072833847
709	0.2072147796
710	0.2071505479
711	0.2071165064
712	0.2070509366
713	0.2070082134
714	0.2069465275
715	0.2068856739
716	0.2068390831
717	0.2067732848
718	0.2066991639
719	0.2066341816
720	0.2066030775
721	0.2065315676
722	0.2064967754
723	0.2064522898
724	0.2063840273
725	0.2063311374
726	0.2062662367
727	0.2061944983
728	0.2061395521
729	0.2060960294
730	0.2060467133
731	0.206002962
732	0.205950937
733	0.205868787
734	0.2058259007
735	0.2057771721
736	0.2057246901
737	0.2056640487
738	0.2056305621
739	0.2055955578
740	0.2055504683
741	0.2055018214
742	0.2054502369
743	0.2053770624
744	0.2053064991
745	0.20524997
746	0.2051997074
747	0.2051471601
748	0.2050917407
749	0.2050574055
750	0.2050260893
751	0.2049666555
752	0.2049086087
753	0.204862279
754	0.2048078551
755	0.2047420895
756	0.2046817417
757	0.2046244783
758	0.2045579947
759	0.2045217175
760	0.2044867948
761	0.2044190383
762	0.2043827937
763	0.2043227397
764	0.2042468889
765	0.2041845013
766	0.2041094991
767	0.2040639854
768	0.2040030012
769	0.2039635092
770	0.2039051361
771	0.2038541718
772	0.2037793328
773	0.2037160802
774	0.2036523057
775	0.2036092886
776	0.203572375
777	0.2035018605
778	0.2034662687
779	0.2033967824
780	0.2033407755
781	0.2032753689
782	0.2032314381
783	0.2031699481
784	0.2031145613
785	0.203077256
786	0.2030330968
787	0.2029856247
788	0.2029202344
789	0.2028431924
790	0.2027959651
791	0.2027472529
792	0.2026865135
793	0.2026357777
794	0.2025874897
795	0.2025165346
796	0.202473224
797	0.2024357882
798	0.2023912372
799	0.2023249657
800	0.2022542554
801	0.2021926022
802	0.2021430576
803	0.202103174
804	0.202054886
805	0.2019963823
806	0.201942399
807	0.2018940621
808	0.2018657649
809	0.2018218994
810	0.201759267
811	0.2017188285
812	0.2016730211
813	0.2016292045
814	0.2015783218
815	0.2015219559
816	0.2014657532
817	0.2014236665
818	0.2013722779
819	0.2013223743
820	0.2012843837
821	0.2012204132
822	0.2012042573
823	0.2011398298
824	0.2011079425
825	0.2010770506
826	0.2010350455
827	0.2009665219
828	0.20091936
829	0.2008590122
830	0.2008034949
831	0.2007374356
832	0.2006764514
833	0.2005988545
834	0.2005466336
835	0.200500663
836	0.2004523587
837	0.2003816158
838	0.2003353677
839	0.2002796545
840	0.2002420555
841	0.2001711168
842	0.2001241017
843	0.2000497523
844	0.1999937454
845	0.1999514955
846	0.1999046436
847	0.1998454055
848	0.1998069253
849	0.1997438686
850	0.1996987628
851	0.1996457097
852	0.1995859658
853	0.1995331085
854	0.1994992955
855	0.1994476133
856	0.1993785675
857	0.1993144175
858	0.1992450453
859	0.1991900013
860	0.1991223753
861	0.1990800437
862	0.1990344484
863	0.1989935529
864	0.1989143568
865	0.1988537317
866	0.1987909198
867	0.198754969
868	0.1987027318
869	0.1986513759
870	0.1985956464
871	0.1985381382
872	0.1984870434
873	0.1984351815
874	0.1983819816
875	0.1983145514
876	0.1982480677
877	0.1982269183
878	0.1981710093
879	0.198129559
880	0.198083621
881	0.1980283811
882	0.197968474
883	0.1979333718
884	0.197883354
885	0.1978329119
886	0.1977568327
887	0.1976869873
888	0.1976515097
889	0.1975976896
890	0.1975674505
891	0.1975337844
892	0.1974844356
893	0.197428233
894	0.1973917926
895	0.1973337132
896	0.1972899783
897	0.1972258771
898	0.1971703272
899	0.1971289259
900	0.1970929914
901	0.1970709934
902	0.1970127019
903	0.1969609543
904	0.1969035766
905	0.196842054
906	0.196777806
907	0.1967394073
908	0.1966716018
909	0.1966236566
910	0.1965555573
911	0.1964959113
912	0.1964543957
913	0.1964116562
914	0.1963632867
915	0.1962980759
916	0.1962529374
917	0.196209333
918	0.1961504214
919	0.1960963239
920	0.1960414757
921	0.1959317785
922	0.1958610845
923	0.1958216578
924	0.1957924794
925	0.195745497
926	0.1957011419
927	0.1956554649
928	0.1956099512
929	0.1955585953
930	0.1955008749
931	0.1954613992
932	0.1954134539
933	0.1953695558
934	0.1953002326
935	0.1952604142
936	0.1952335205
937	0.1951860321
938	0.1951215394
939	0.1950787183
940	0.1950468472
941	0.1950011377
942	0.1949705885
943	0.19493844
944	0.1948828901
945	0.1948309956
946	0.1947787421
947	0.1947447659
948	0.1946863112
949	0.1946293252
950	0.194577953
951	0.1945355398
952	0.194487872
953	0.1944304454
954	0.1943621829
955	0.1943112023
956	0.1942554565
957	0.1942036273
958	0.1941420394
959	0.1940822792
960	0.1940223558
961	0.1939892445
962	0.1939526898
963	0.1938935661
964	0.193835046
965	0.1938029792
966	0.1937571717
967	0.1937084268
968	0.1936869347
969	0.1936386304
970	0.1936065798
971	0.193574513
972	0.1935404552
973	0.1935068543
974	0.1934598066
975	0.1934021025
976	0.1933666903
977	0.1933216825
978	0.1932629666
979	0.1932224302
980	0.1931882418
981	0.193146612
982	0.1931019632
