iter	Passed	Remaining
0	131	131379
1	253	126490
2	379	126109
3	492	122706
4	606	120791
5	722	119699
6	853	121052
7	945	117191
8	1047	115302
9	1154	114293
10	1262	113469
11	1362	112143
12	1468	111488
13	1598	112609
14	1703	111893
15	1808	111221
16	1919	110975
17	2025	110517
18	2125	109754
19	2216	108617
20	2321	108231
21	2419	107576
22	2526	107324
23	2636	107199
24	2755	107469
25	2868	107473
26	2979	107387
27	3087	107163
28	3191	106848
29	3300	106722
30	3417	106815
31	3547	107325
32	3659	107222
33	3748	106505
34	3852	106230
35	3948	105743
36	4037	105073
37	4131	104598
38	4219	103964
39	4330	103932
40	4433	103708
41	4531	103371
42	4622	102869
43	4713	102421
44	4798	101836
45	4908	101790
46	5015	101691
47	5102	101201
48	5179	100519
49	5271	100150
50	5353	99623
51	5441	99200
52	5538	98967
53	5639	98798
54	5749	98790
55	5823	98170
56	5921	97970
57	6019	97770
58	6118	97586
59	6210	97300
60	6307	97094
61	6403	96881
62	6488	96505
63	6575	96162
64	6681	96106
65	6774	95863
66	6868	95653
67	6950	95261
68	7035	94928
69	7147	94960
70	7239	94727
71	7340	94614
72	7438	94457
73	7526	94183
74	7628	94078
75	7722	93892
76	7819	93734
77	7910	93508
78	7987	93125
79	8083	92957
80	8147	92437
81	8216	91983
82	8298	91686
83	8396	91565
84	8494	91435
85	8596	91363
86	8695	91252
87	8793	91136
88	8902	91123
89	8989	90892
90	9089	90791
91	9185	90660
92	9277	90475
93	9371	90324
94	9469	90211
95	9562	90049
96	9652	89861
97	9731	89565
98	9820	89378
99	9926	89339
100	10008	89083
101	10106	88980
102	10208	88899
103	10301	88753
104	10405	88696
105	10506	88613
106	10606	88516
107	10699	88368
108	10801	88296
109	10898	88179
110	10986	87993
111	11089	87923
112	11187	87820
113	11286	87719
114	11392	87668
115	11504	87671
116	11630	87776
117	11720	87604
118	11832	87602
119	11935	87524
120	12043	87491
121	12138	87356
122	12225	87166
123	12331	87117
124	12426	86988
125	12538	86972
126	12639	86887
127	12730	86726
128	12835	86661
129	12928	86523
130	13028	86422
131	13112	86222
132	13199	86043
133	13296	85931
134	13367	85652
135	13466	85551
136	13536	85271
137	13616	85050
138	13710	84928
139	13816	84869
140	13912	84757
141	14011	84662
142	14101	84510
143	14205	84443
144	14314	84406
145	14401	84238
146	14507	84184
147	14616	84145
148	14721	84079
149	14813	83942
150	14886	83700
151	14971	83522
152	15050	83317
153	15132	83130
154	15236	83063
155	15334	82965
156	15420	82798
157	15503	82618
158	15598	82505
159	15698	82419
160	15788	82279
161	15887	82182
162	15974	82026
163	16071	81927
164	16163	81796
165	16232	81555
166	16327	81441
167	16419	81317
168	16506	81163
169	16606	81079
170	16719	81057
171	16826	80999
172	16948	81018
173	17039	80888
174	17141	80810
175	17216	80605
176	17306	80470
177	17401	80358
178	17485	80198
179	17582	80098
180	17653	79879
181	17750	79779
182	17844	79668
183	17938	79553
184	18035	79453
185	18147	79417
186	18250	79347
187	18326	79155
188	18422	79052
189	18508	78906
190	18606	78807
191	18693	78668
192	18784	78545
193	18887	78470
194	18987	78386
195	19076	78253
196	19170	78143
197	19264	78029
198	19368	77961
199	19460	77841
200	19555	77737
201	19650	77630
202	19737	77492
203	19832	77385
204	19921	77257
205	19994	77065
206	20105	77022
207	20203	76927
208	20299	76827
209	20394	76723
210	20483	76595
211	20600	76573
212	20671	76379
213	20775	76305
214	20854	76143
215	20946	76029
216	21049	75951
217	21146	75855
218	21215	75660
219	21307	75546
220	21403	75443
221	21500	75350
222	21600	75262
223	21673	75083
224	21775	75003
225	21883	74946
226	21974	74828
227	22083	74775
228	22178	74670
229	22274	74571
230	22364	74450
231	22461	74356
232	22555	74249
233	22661	74181
234	22748	74053
235	22840	73940
236	22924	73802
237	23007	73664
238	23096	73542
239	23179	73401
240	23276	73305
241	23371	73206
242	23471	73119
243	23554	72981
244	23648	72877
245	23742	72771
246	23837	72670
247	23918	72525
248	24020	72446
249	24124	72372
250	24216	72264
251	24295	72114
252	24405	72058
253	24490	71927
254	24584	71824
255	24666	71687
256	24762	71589
257	24866	71514
258	24964	71424
259	25067	71346
260	25159	71236
261	25267	71174
262	25377	71114
263	25502	71099
264	25567	70914
265	25652	70784
266	25742	70671
267	25838	70573
268	25945	70506
269	26027	70370
270	26117	70258
271	26214	70163
272	26306	70055
273	26414	69987
274	26495	69852
275	26568	69695
276	26654	69571
277	26762	69504
278	26854	69397
279	26961	69329
280	27053	69221
281	27158	69148
282	27241	69018
283	27338	68923
284	27424	68801
285	27503	68661
286	27597	68562
287	27709	68502
288	27817	68438
289	27923	68363
290	28023	68277
291	28117	68175
292	28206	68061
293	28285	67924
294	28373	67806
295	28454	67676
296	28533	67539
297	28619	67418
298	28712	67317
299	28783	67160
300	28874	67054
301	28959	66933
302	29059	66846
303	29155	66751
304	29258	66670
305	29354	66576
306	29457	66495
307	29552	66397
308	29647	66299
309	29730	66175
310	29833	66095
311	29943	66028
312	30038	65930
313	30123	65811
314	30225	65728
315	30328	65648
316	30417	65537
317	30522	65459
318	30635	65400
319	30750	65344
320	30856	65270
321	30963	65195
322	31056	65093
323	31136	64962
324	31217	64837
325	31309	64732
326	31392	64608
327	31479	64495
328	31557	64362
329	31656	64272
330	31740	64152
331	31812	64008
332	31902	63901
333	32005	63818
334	32094	63710
335	32192	63617
336	32280	63507
337	32375	63410
338	32470	63312
339	32580	63244
340	32678	63152
341	32788	63084
342	32868	62958
343	32967	62867
344	33051	62749
345	33154	62667
346	33238	62549
347	33342	62469
348	33448	62392
349	33554	62316
350	33650	62219
351	33754	62139
352	33850	62043
353	33955	61963
354	34035	61838
355	34133	61746
356	34235	61663
357	34324	61554
358	34389	61403
359	34486	61309
360	34580	61210
361	34672	61108
362	34748	60976
363	34837	60870
364	34930	60768
365	35016	60657
366	35109	60557
367	35204	60459
368	35305	60373
369	35404	60283
370	35500	60188
371	35613	60121
372	35736	60071
373	35835	59982
374	35940	59900
375	36038	59809
376	36130	59705
377	36226	59610
378	36319	59510
379	36424	59429
380	36523	59338
381	36610	59228
382	36720	59155
383	36837	59092
384	36937	59003
385	37028	58899
386	37116	58791
387	37209	58691
388	37304	58594
389	37381	58469
390	37472	58364
391	37551	58243
392	37649	58150
393	37753	58067
394	37854	57980
395	37955	57891
396	38040	57778
397	38106	57638
398	38213	57559
399	38311	57466
400	38403	57365
401	38518	57298
402	38626	57221
403	38790	57225
404	38898	57147
405	39000	57060
406	39093	56959
407	39189	56862
408	39283	56763
409	39359	56639
410	39452	56538
411	39552	56448
412	39633	56331
413	39730	56236
414	39824	56138
415	39903	56018
416	39996	55918
417	40101	55834
418	40190	55729
419	40285	55632
420	40367	55517
421	40463	55422
422	40540	55300
423	40653	55226
424	40742	55121
425	40865	55063
426	40974	54983
427	41084	54907
428	41199	54836
429	41316	54768
430	41427	54691
431	41530	54604
432	41631	54515
433	41744	54440
434	41832	54334
435	41934	54245
436	42053	54179
437	42154	54088
438	42267	54014
439	42367	53922
440	42464	53827
441	42560	53730
442	42655	53632
443	42743	53525
444	42824	53409
445	42908	53299
446	43012	53212
447	43121	53131
448	43242	53066
449	43332	52962
450	43429	52866
451	43538	52785
452	43629	52682
453	43734	52596
454	43843	52515
455	43938	52417
456	44027	52312
457	44120	52212
458	44223	52124
459	44291	51994
460	44377	51886
461	44496	51815
462	44589	51716
463	44672	51604
464	44751	51488
465	44841	51385
466	44927	51277
467	45016	51172
468	45113	51077
469	45200	50970
470	45289	50866
471	45383	50768
472	45453	50643
473	45553	50550
474	45626	50429
475	45722	50332
476	45821	50240
477	45923	50150
478	46026	50062
479	46118	49962
480	46195	49845
481	46292	49749
482	46402	49668
483	46466	49538
484	46554	49434
485	46653	49341
486	46764	49261
487	46863	49168
488	46950	49063
489	47036	48955
490	47127	48855
491	47232	48768
492	47321	48665
493	47408	48559
494	47499	48459
495	47604	48371
496	47696	48272
497	47763	48147
498	47831	48022
499	47923	47923
500	48018	47826
501	48104	47720
502	48196	47621
503	48272	47505
504	48368	47410
505	48451	47302
506	48541	47201
507	48642	47110
508	48738	47015
509	48822	46907
510	48919	46812
511	49019	46721
512	49114	46624
513	49181	46502
514	49273	46403
515	49348	46287
