id_usuario;edad;nacionalidad;origen;tipo_turista_preferido;compañia_viaje;frecuencia_viaje;restricciones_movilidad;presupuesto_estimado;sitios_visitados;calificacion_sitios_previos;tiempo_estancia_promedio
U00001;54;Colombia;Ibagué;cultural;solo;2;ninguna;144475;28;3.8;239
U00002;69;España;Extranjero;aventura;amigos;2;ninguna;275631;19;3.9;352
U00003;27;Colombia;Cartagena;naturaleza;solo;1;ninguna;283650;19;4.3;30
U00004;19;Colombia;Ibagué;naturaleza;solo;3;ninguna;200310;33;4.9;297
U00005;29;Canadá;Extranjero;aventura;pareja;2;ninguna;312366;24;3.2;104
U00006;52;Colombia;Pasto;aventura;solo;3;ninguna;239884;29;3.0;190
U00007;68;Colombia;Pasto;naturaleza;pareja;4;ninguna;186494;24;4.0;315
U00008;41;Colombia;Manizales;naturaleza;pareja;4;leve;159707;2;4.7;103
U00009;57;Colombia;Tunja;gastronómico;pareja;3;ninguna;278716;22;4.3;107
U00010;35;Canadá;Extranjero;cultural;familia;1;ninguna;321180;7;4.4;155
U00011;53;Colombia;Pereira;naturaleza;pareja;1;ninguna;263548;8;4.2;203
U00012;62;Estados Unidos;Extranjero;relax_fotografía;amigos;1;ninguna;198271;32;4.7;169
U00013;55;Colombia;Barranquilla;naturaleza;pareja;3;silla_ruedas;302703;4;4.6;154
U00014;24;Colombia;Cali;cultural;pareja;1;ninguna;166554;4;4.0;165
U00015;44;Chile;Extranjero;aventura;familia;1;ninguna;329407;4;4.3;190
U00016;64;Colombia;Pereira;cultural;amigos;2;ninguna;188532;19;3.2;183
U00017;65;Colombia;Pereira;aventura;pareja;1;ninguna;172834;27;4.6;248
U00018;29;Colombia;Bucaramanga;aventura;pareja;2;ninguna;215771;14;3.1;98
U00019;51;Colombia;Cali;naturaleza;solo;2;ninguna;300428;8;4.5;226
U00020;38;Colombia;Pasto;naturaleza;pareja;3;ninguna;348342;23;3.8;77
U00021;57;Colombia;Barranquilla;cultural;familia;2;ninguna;165833;35;4.2;154
U00022;68;Colombia;Tunja;cultural;pareja;2;ninguna;168645;27;4.0;86
U00023;39;Chile;Extranjero;naturaleza;pareja;2;ninguna;350688;28;4.0;314
